variant	bin_name	phase3_dist	phase4_mode	calc_variant	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	1	1	FAIL	137	NA	NA	NA	827	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np1_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np1_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	1	2	FAIL	137	NA	NA	NA	777	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np1_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np1_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	1	3	FAIL	137	NA	NA	NA	778	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np1_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np1_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	2	1	FAIL	137	NA	NA	NA	385	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np2_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np2_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	2	2	FAIL	137	NA	NA	NA	385	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np2_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np2_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	2	3	FAIL	137	NA	NA	NA	385	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np2_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np2_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	4	1	FAIL	137	NA	NA	NA	180	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np4_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np4_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	4	2	FAIL	137	NA	NA	NA	181	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np4_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np4_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	4	3	FAIL	137	NA	NA	NA	179	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np4_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np4_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	8	1	FAIL	137	NA	NA	NA	117	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np8_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np8_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	8	2	FAIL	137	NA	NA	NA	117	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np8_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np8_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	8	3	FAIL	137	NA	NA	NA	118	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np8_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np8_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	16	1	FAIL	137	NA	NA	NA	80	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np16_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np16_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	16	2	FAIL	137	NA	NA	NA	80	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np16_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np16_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	16	3	FAIL	137	NA	NA	NA	80	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np16_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np16_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	32	1	FAIL	137	NA	NA	NA	49	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np32_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np32_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	32	2	FAIL	137	NA	NA	NA	50	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np32_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np32_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	32	3	FAIL	137	NA	NA	NA	50	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np32_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np32_rep3_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	64	1	FAIL	137	NA	NA	NA	42	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np64_rep1_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np64_rep1_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	64	2	FAIL	137	NA	NA	NA	41	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np64_rep2_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np64_rep2_8390260
block_base_calcopt	protspam_block_base_calcopt	block	base	calcopt	8390260	1	64	55	64	3	FAIL	137	NA	NA	NA	43	65536	ilk-123	logs_variants_55/block_base_calcopt_55sp_np64_rep3_8390260.log	results_variants_55/DMat_block_base_calcopt_55sp_np64_rep3_8390260
